group,x,y
HC,0.28514867617107936,0.25433960354707724
HC,0.440606896551724,0.2349796530306275
HC,-0.2498672566371681,0.19318968834166989
HC,0.4282696629213483,0.19824132877381537
HC,0.39422881355932216,0.16788082956100642
HC,-0.16060000000000002,0.13327122153209112
HC,-0.22193725490196084,0.0620338570210693
HC,-0.14765454545454543,0.05311123658949746
HC,0.3430603174603175,0.02504584442472638
HC,-0.16939473684210532,0.018895063746322334
HC,-0.18953846153846154,-0.015989807294155178
HC,-0.06612422360248445,-0.021874156089656992
HC,-0.14740684410646385,-0.04478190019601825
HC,0.2278301158301158,-0.0568023213985947
HC,-0.191203125,-0.07528144409937888
HC,-0.06502877697841723,-0.08754189195227674
HC,0.15213289036544847,-0.10618022739935207
HC,0.2253422818791946,-0.10763266497144529
HC,-0.06515098468271333,-0.13217717493238373
HC,-0.11376173285198558,-0.15627508576810104
HC,-0.053105485232067505,-0.16835705113085409
HC,-0.01233018867924534,-0.21549865229110507
HC,-0.00032876712328766186,-0.2352080319918319
HC,-0.0020441176470587835,-0.2485476799415419
HC,0.019700000000000044,-0.2881055900621117
HC,0.08981560283687941,-0.36796616889123823
HC,0.10905154639175248,-0.42979658918699704
Adult-onset T1D,0.22402531645569615,0.2518908719238934
Adult-onset T1D,-0.2183948220064725,0.19723411525859816
Adult-onset T1D,-0.1170670926517572,0.16500307582402318
Adult-onset T1D,0.22971764705882355,0.15085129704055536
Adult-onset T1D,0.4309818181818182,0.14184641445511012
Adult-onset T1D,0.4897439024390244,0.12487501893652474
Adult-onset T1D,-0.17062542955326454,0.11881069774391152
Adult-onset T1D,0.3783880597014925,0.07827941040140907
Adult-onset T1D,-0.19198540145985396,0.07182300403500023
Adult-onset T1D,0.3322280701754387,0.06015037593984964
Adult-onset T1D,-0.09178165938864628,0.053215438444221407
Adult-onset T1D,0.12738461538461548,0.04880554228380316
Adult-onset T1D,-0.10302564102564099,0.01900514943993208
Adult-onset T1D,0.3911194968553459,0.009426149458963255
Adult-onset T1D,-0.20693814432989688,-0.00017929179740033008
Adult-onset T1D,-0.15864999999999999,-0.010347826086956573
Adult-onset T1D,0.010421768707483011,-0.00938014957535808
Adult-onset T1D,-0.09987220447284346,-0.020260750501061662
Adult-onset T1D,0.3521600000000001,-0.029499627329192573
Adult-onset T1D,0.4241717171717171,-0.026607691825083126
Adult-onset T1D,0.443641791044776,-0.02684713080559928
Adult-onset T1D,-0.03751965065502179,-0.029889609156744143
Adult-onset T1D,-0.2105442622950819,-0.04338458405457696
Adult-onset T1D,0.2988731343283582,-0.047153981644572164
Adult-onset T1D,-0.17005464480874322,-0.0604894274174388
Adult-onset T1D,0.26030718954248366,-0.06434457841107462
Adult-onset T1D,0.05603246753246754,-0.07284423650883283
Adult-onset T1D,0.0016088435374149413,-0.10818650441543082
Adult-onset T1D,-0.13839999999999997,-0.13005908195727925
Adult-onset T1D,0.14933766233766232,-0.1637129950794547
Adult-onset T1D,-0.01962790697674416,-0.1670002682569489
Adult-onset T1D,0.2035159235668789,-0.1941369624559876
Adult-onset T1D,-0.0010241545893719603,-0.19609925885918328
Adult-onset T1D,0.04665714285714284,-0.2884738243123336
T2D,0.19515972222222217,0.21962129054520363
T2D,0.29327208480565375,0.2178434255865505
T2D,-0.3059123505976096,0.20538962163767288
T2D,0.4705301204819277,0.15688842325825042
T2D,0.27303135888501745,0.14989070919990474
T2D,-0.26390747330960856,0.1237815256073031
T2D,0.4309640287769785,0.12408507976227712
T2D,0.25582578397212546,0.11112601986711972
T2D,-0.21485079365079365,0.0855821748989451
T2D,0.3992746478873239,0.08595923366284665
T2D,0.08516376306620213,0.06706343194754043
T2D,0.17736805555555565,0.053338509316770186
T2D,0.3297408637873755,0.04183157590639898
T2D,-0.07637275985663086,0.021536543556178896
T2D,-0.17913461538461536,0.005331262939958545
T2D,-0.13407746478873242,-0.019337765724783466
T2D,0.004585714285714289,-0.023753327417923756
T2D,-0.17704436860068257,-0.03178089161172703
T2D,-0.06069798657718115,-0.04245279086247869
T2D,0.011481481481481523,-0.06267732535848479
T2D,-0.10096350364963508,-0.06922972299043384
T2D,-0.16308088235294121,-0.07598648154914135
T2D,-0.05001298701298697,-0.10770750988142298
T2D,-0.11481343283582089,-0.12000556225085751
T2D,0.01433519553072631,-0.12754085846143168
T2D,0.07266433566433568,-0.14273118186161662
T2D,0.08059859154929574,-0.17095179774297967
T2D,-0.029904436860068245,-0.1941067983804295
T2D,0.08158394160583941,-0.28934578591830257
T2D,0.021493055555555543,-0.3069401311249137
T2D,0.095695652173913,-0.32353047078945
T2D,0.005962686567164155,-0.33282191526837857
T2D,0.11544117647058828,-0.38423456339057355
