node,order,phylum,type,presence,fraction,bsh
n2,0,Fusobacteria,MAG,1,0.028,1
n4,1,Fusobacteria,WGS,2,0.4377,0
n5,2,Fusobacteria,WGS,1,0.0007,1
n8,3,Fusobacteria,WGS,1,0.2234,1
n9,4,Fusobacteria,MAG,1,0.0239,1
n11,5,Fusobacteria,MAG,0,0.2138,1
n13,6,Fusobacteria,MAG,1,0.3499,1
n15,7,Fusobacteria,MAG,1,0.095,1
n16,8,Fusobacteria,MAG,0,0.0992,0
n20,9,Proteobacteria,WGS,2,0.0094,0
n21,10,Proteobacteria,MAG,1,0.0713,1
n23,11,Proteobacteria,SAG,1,0.1132,1
n24,12,Proteobacteria,WGS,0,0.0136,1
n27,13,Proteobacteria,MAG,2,0.0115,1
n29,14,Proteobacteria,WGS,1,0.141,1
n30,15,Proteobacteria,WGS,2,0.0683,0
n33,16,Proteobacteria,WGS,0,0.0261,0
n35,17,Proteobacteria,MAG,2,0.1274,1
n37,18,Proteobacteria,MAG,2,0.1898,1
n38,19,Proteobacteria,WGS,0,0.0382,1
n40,20,Proteobacteria,WGS,0,0.0106,0
n41,21,Proteobacteria,MAG,1,0.0226,0
n45,22,Spirochaetes,MAG,2,0.0023,0
n47,23,Spirochaetes,WGS,1,0.0087,0
n48,24,Spirochaetes,WGS,0,0.0295,1
n50,25,Spirochaetes,WGS,1,0.1021,0
n51,26,Spirochaetes,WGS,1,0.0326,1
n55,27,Spirochaetes,WGS,1,0.0981,1
n56,28,Spirochaetes,WGS,0,0.2352,1
n58,29,Spirochaetes,MAG,0,0.0721,1
n59,30,Spirochaetes,WGS,1,0.1357,1
n61,31,Spirochaetes,MAG,0,0.1301,0
n64,32,Spirochaetes,WGS,1,0.0166,0
n65,33,Spirochaetes,WGS,1,0.0844,1
n66,34,Spirochaetes,WGS,1,0.0009,1
n71,35,Bacteroidetes,WGS,0,0.0041,0
n72,36,Bacteroidetes,MAG,1,0.0921,0
n75,37,Bacteroidetes,SAG,0,0.1998,1
n76,38,Bacteroidetes,MAG,1,0.0353,0
n77,39,Bacteroidetes,WGS,2,0.0823,1
n81,40,Bacteroidetes,MAG,0,0.1347,1
n82,41,Bacteroidetes,SAG,0,0.0824,0
n83,42,Bacteroidetes,MAG,1,0.0432,1
n86,43,Bacteroidetes,MAG,1,0.1122,1
n87,44,Bacteroidetes,MAG,0,0.0371,1
n91,45,Bacteroidetes,WGS,1,0.0231,1
n92,46,Bacteroidetes,MAG,1,0.0055,0
n93,47,Bacteroidetes,WGS,0,0.008,0
n95,48,Bacteroidetes,WGS,0,0.3798,1
n97,49,Bacteroidetes,WGS,0,0.0507,1
n98,50,Bacteroidetes,MAG,0,0.0017,1
n102,51,Bacteroidetes,WGS,1,0.0015,0
n104,52,Bacteroidetes,MAG,0,0.1279,1
n105,53,Bacteroidetes,SAG,0,0.0351,1
n107,54,Bacteroidetes,SAG,1,0.0061,1
n108,55,Bacteroidetes,WGS,2,0.0001,0
n111,56,Bacteroidetes,WGS,1,0.0043,1
n112,57,Bacteroidetes,WGS,0,0.063,1
n113,58,Bacteroidetes,WGS,1,0.0302,0
n116,59,Firmicutes,MAG,2,0.2514,1
n119,60,Firmicutes,MAG,2,0.0529,0
n120,61,Firmicutes,MAG,1,0.3392,0
n122,62,Firmicutes,MAG,0,0.0691,0
n123,63,Firmicutes,MAG,1,0.3214,1
n127,64,Firmicutes,WGS,2,0.1656,1
n128,65,Firmicutes,WGS,0,0.015,0
n131,66,Firmicutes,MAG,1,0.1322,1
n132,67,Firmicutes,WGS,1,0.0961,0
n133,68,Firmicutes,MAG,1,0.0027,1
n136,69,Firmicutes,WGS,2,0.0003,0
n137,70,Firmicutes,WGS,0,0.0504,0
n140,71,Firmicutes,MAG,2,0.0461,1
n141,72,Firmicutes,WGS,1,0.0583,0
n142,73,Firmicutes,SAG,0,0.0015,1
n146,74,Firmicutes,WGS,2,0.0007,1
n148,75,Firmicutes,WGS,0,0.0031,1
n150,76,Firmicutes,WGS,0,0.0823,1
n151,77,Firmicutes,MAG,1,0.1419,1
n156,78,Firmicutes,MAG,0,0.0154,0
n157,79,Firmicutes,WGS,1,0.0734,1
n159,80,Firmicutes,WGS,1,0.1241,0
n160,81,Firmicutes,SAG,1,0.1466,0
n162,82,Firmicutes,WGS,1,0.0331,1
n163,83,Firmicutes,WGS,1,0.0052,1
n166,84,Firmicutes,MAG,1,0.0127,0
n167,85,Firmicutes,SAG,0,0.1114,0
n168,86,Firmicutes,SAG,1,0.0693,1
n173,87,Firmicutes,WGS,0,0.0239,0
n175,88,Firmicutes,WGS,1,0.0775,1
n177,89,Firmicutes,WGS,1,0.056,1
n178,90,Firmicutes,WGS,1,0.0041,0
n180,91,Firmicutes,WGS,0,0.0011,1
n182,92,Firmicutes,WGS,2,0.0008,1
n183,93,Firmicutes,MAG,1,0.0063,1
n186,94,Firmicutes,MAG,0,0.0018,0
n187,95,Firmicutes,WGS,1,0.0113,1
n190,96,Firmicutes,WGS,0,0.0912,1
n192,97,Firmicutes,WGS,1,0.2569,0
n193,98,Firmicutes,WGS,2,0.1713,1
n195,99,Firmicutes,WGS,0,0.0031,1
n196,100,Firmicutes,MAG,1,0.2426,1
n201,101,Firmicutes,WGS,0,0.0465,0
