category,group,sample,value,mean,error
ubq-1,Wild-type,1,0.55,1,0.03
ubq-1,Wild-type,2,0.83,1,0.03
ubq-1,Wild-type,3,0.9,1,0.03
ubq-1,Wild-type,4,0.99,1,0.03
ubq-1,Wild-type,5,1,1,0.03
ubq-1,Wild-type,6,1.16,1,0.03
ubq-1,Wild-type,7,1.52,1,0.03
ubq-1,eat-2(ad1116),1,0.06,0.65,0.12
ubq-1,eat-2(ad1116),2,0.28,0.65,0.12
ubq-1,eat-2(ad1116),3,0.4,0.65,0.12
ubq-1,eat-2(ad1116),4,0.62,0.65,0.12
ubq-1,eat-2(ad1116),5,0.66,0.65,0.12
ubq-1,eat-2(ad1116),6,0.78,0.65,0.12
ubq-1,eat-2(ad1116),7,0.85,0.65,0.12
ubq-1,eat-2(ad1116),8,1.06,0.65,0.12
ubq-1,eat-2(ad1116),9,1.18,0.65,0.12
ubq-1,daf-2(e1370),1,0.08,0.39,0.07
ubq-1,daf-2(e1370),2,0.15,0.39,0.07
ubq-1,daf-2(e1370),3,0.4,0.39,0.07
ubq-1,daf-2(e1370),4,0.44,0.39,0.07
ubq-1,daf-2(e1370),5,0.48,0.39,0.07
ubq-1,daf-2(e1370),6,0.5,0.39,0.07
ubq-1,daf-2(e1370),7,0.56,0.39,0.07
ubq-2,Wild-type,1,0.45,0.96,0.08
ubq-2,Wild-type,2,0.63,0.96,0.08
ubq-2,Wild-type,3,0.85,0.96,0.08
ubq-2,Wild-type,4,0.94,0.96,0.08
ubq-2,Wild-type,5,1,0.96,0.08
ubq-2,Wild-type,6,1.31,0.96,0.08
ubq-2,Wild-type,7,1.43,0.96,0.08
ubq-2,eat-2(ad1116),1,0.02,0.71,0.18
ubq-2,eat-2(ad1116),2,0.04,0.71,0.18
ubq-2,eat-2(ad1116),3,0.07,0.71,0.18
ubq-2,eat-2(ad1116),4,0.58,0.71,0.18
ubq-2,eat-2(ad1116),5,0.7,0.71,0.18
ubq-2,eat-2(ad1116),6,0.73,0.71,0.18
ubq-2,eat-2(ad1116),7,0.75,0.71,0.18
ubq-2,eat-2(ad1116),8,0.9,0.71,0.18
ubq-2,daf-2(e1370),1,0.37,0.68,0.08
ubq-2,daf-2(e1370),2,0.45,0.68,0.08
ubq-2,daf-2(e1370),3,0.56,0.68,0.08
ubq-2,daf-2(e1370),4,0.64,0.68,0.08
ubq-2,daf-2(e1370),5,0.72,0.68,0.08
ubq-2,daf-2(e1370),6,0.74,0.68,0.08
ubq-2,daf-2(e1370),7,0.97,0.68,0.08
ubq-2,daf-2(e1370),8,1.08,0.68,0.08
ubl-1,Wild-type,1,0.95,1.11,0.07
ubl-1,Wild-type,2,1,1.11,0.07
ubl-1,Wild-type,3,1.03,1.11,0.07
ubl-1,Wild-type,4,1.07,1.11,0.07
ubl-1,Wild-type,5,1.5,1.11,0.07
ubl-1,Wild-type,6,1.54,1.11,0.07
ubl-1,eat-2(ad1116),1,0.29,0.68,0.13
ubl-1,eat-2(ad1116),2,0.31,0.68,0.13
ubl-1,eat-2(ad1116),3,0.32,0.68,0.13
ubl-1,eat-2(ad1116),4,0.55,0.68,0.13
ubl-1,eat-2(ad1116),5,0.57,0.68,0.13
ubl-1,eat-2(ad1116),6,0.9,0.68,0.13
ubl-1,eat-2(ad1116),7,0.97,0.68,0.13
ubl-1,eat-2(ad1116),8,1.11,0.68,0.13
ubl-1,eat-2(ad1116),9,1.18,0.68,0.13
ubl-1,daf-2(e1370),1,0.49,1.14,0.13
ubl-1,daf-2(e1370),2,0.9,1.14,0.13
ubl-1,daf-2(e1370),3,0.9,1.14,0.13
ubl-1,daf-2(e1370),4,1.07,1.14,0.13
ubl-1,daf-2(e1370),5,1.3,1.14,0.13
ubl-1,daf-2(e1370),6,1.42,1.14,0.13
ubl-1,daf-2(e1370),7,1.5,1.14,0.13
ubl-1,daf-2(e1370),8,1.55,1.14,0.13
usp-14,Wild-type,1,0.87,1.09,0.07
usp-14,Wild-type,2,0.97,1.09,0.07
usp-14,Wild-type,3,1,1.09,0.07
usp-14,Wild-type,4,1.1,1.09,0.07
usp-14,Wild-type,5,1.14,1.09,0.07
usp-14,Wild-type,6,1.4,1.09,0.07
usp-14,Wild-type,7,1.46,1.09,0.07
usp-14,eat-2(ad1116),1,0.47,0.95,0.12
usp-14,eat-2(ad1116),2,0.48,0.95,0.12
usp-14,eat-2(ad1116),3,0.57,0.95,0.12
usp-14,eat-2(ad1116),4,0.95,0.95,0.12
usp-14,eat-2(ad1116),5,1.07,0.95,0.12
usp-14,eat-2(ad1116),6,1.2,0.95,0.12
usp-14,eat-2(ad1116),7,1.25,0.95,0.12
usp-14,eat-2(ad1116),8,1.45,0.95,0.12
usp-14,daf-2(e1370),1,0.48,0.91,0.12
usp-14,daf-2(e1370),2,0.57,0.91,0.12
usp-14,daf-2(e1370),3,0.6,0.91,0.12
usp-14,daf-2(e1370),4,0.91,0.91,0.12
usp-14,daf-2(e1370),5,1.12,0.91,0.12
usp-14,daf-2(e1370),6,1.2,0.91,0.12
usp-14,daf-2(e1370),7,1.21,0.91,0.12
